duration,win_champ,lose_champ,win_tags,lose_tags,win_statperks,lose_statperks,win_styles_primary,lose_styles_primary,win_styles_sub,lose_styles_sub,win_items,lose_items,win_dealt,lose_dealt,win_taken,lose_taken,win_kills,lose_kills,win_deaths,lose_deaths,win_assists,lose_assists,win_heals,lose_heals,win_cs,lose_cs,win_vision,lose_vision
1686,"[150, 350, 221, 234, 131]","[888.0, 238, 110.0, 3, 122]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5007], [5011, 5008, 5005], [5011, 5008, 5008]]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5007], [5001, 5008, 5007], [5001, 5008, 5008]]","[[8008, 9101, 9103, 8014], [8010, 8009, 9105, 8014], [8010, 9111, 9104, 8014], [8021, 9111, 9104, 8299], [8214, 8226, 8210, 8237]]","[[8008, 9111, 9104, 8014], [8010, 9111, 9104, 8299], [8112, 8139, 8138, 8106], [8214, 8226, 8210, 8237], [8230, 8275, 8234, 8232]]","[[8233, 8236], [8304, 8347], [8401, 8473], [8463, 8453], [8473, 8451]]","[[8139, 8135], [8210, 8237], [8275, 8234], [8304, 8347], [8473, 8453]]","[[0, 3916, 3870, 6617, 3067, 3114, 3364], [1055, 1038, 1037, 3006, 3085, 3087, 3363], [3078, 3071, 1054, 3082, 1011, 3047, 3340], [3078, 6672, 2055, 3071, 1029, 3047, 3364], [3157, 3137, 1026, 3041, 3100, 3020, 3364]]","[[1055.0, 3124.0, 3153.0, 3006.0, 1033.0, 0.0, 3363.0], [2065.0, 3067.0, 3876.0, 2055.0, 3114.0, 3158.0, 3364.0], [3035, 2020, 0, 3814, 6699, 3158, 3364], [3147, 3068, 1082, 3111, 3108, 0, 3364], [3748, 3156, 3742, 0, 0, 3047, 3363]]","[5082, 23719, 24489, 25241, 33882]","[5878.0, 6851, 10344.0, 21239, 21929]","[4296, 9786, 20948, 22288, 36148]","[18561.0, 21876.0, 23534, 32043, 36886]","[0, 8, 9, 9, 11]","[1, 1.0, 1.0, 5, 7]","[2, 2, 2, 4, 5]","[6.0, 6.0, 8, 8, 9]","[3, 8, 9, 10, 18]","[1.0, 4, 4, 5, 6.0]","[585, 2810, 4921, 5905, 21269]","[1270.0, 1607, 4942.0, 5144, 9484]","[9, 30, 179, 181, 237]","[16.0, 25, 157, 157, 218.0]","[20, 24, 33, 34, 53]","[13, 16.0, 17, 24, 61.0]"
1895,"[777, 64, 58, 40.0, 221.0]","[517, 412, 39, 113, 222]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5005], [5011, 5008, 5008], [5011, 5010, 5008]]","[[5001, 5001, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5008], [5001, 5008, 5008]]","[[8008, 9111, 9104, 8017], [8008, 9111, 9104, 8299], [8010, 9111, 9104, 8014], [8010, 9111, 9105, 8299], [8229, 8226, 8234, 8237]]","[[8008, 8009, 9103, 8014], [8010, 9111, 9104, 8299], [8112, 8143, 8138, 8105], [8439, 8463, 8429, 8451], [8439, 8463, 8473, 8242]]","[[8105, 8139], [8242, 8473], [8304, 8347], [8347, 8304], [8446, 8444]]","[[8233, 8236], [8237, 8210], [8345, 8347], [8473, 8451], [9104, 9111]]","[[1057, 6333, 3006, 3031, 3153, 1031, 3340], [2021, 6698, 3047, 3071, 6692, 3026, 3340], [3071, 6610, 0, 2021, 1037, 3047, 3340], [3072.0, 6675.0, 3006.0, 3085.0, 3036.0, 3095.0, 3363.0], [3222.0, 3107.0, 3876.0, 2065.0, 0.0, 3009.0, 3364.0]]","[[0, 4645, 3157, 1056, 3100, 3020, 3364], [1055, 3094, 6672, 3031, 3035, 3006, 3363], [3068, 2055, 3075, 3110, 3067, 3047, 3364], [3877, 3190, 2055, 3067, 3050, 3158, 3364], [6670, 1043, 3076, 6333, 3153, 3047, 3364]]","[12951, 13543.0, 30832, 31077, 31604.0]","[9905, 18431, 18584, 25380, 28294]","[12153.0, 17704.0, 31903, 40093, 45196]","[18362, 18793, 28607, 36198, 37044]","[0.0, 3, 5, 12, 16.0]","[2, 3, 3, 4, 11]","[3.0, 4.0, 5, 5, 6]","[3, 5, 8, 9, 11]","[5.0, 8, 8, 14, 21.0]","[6, 6, 8, 11, 17]","[5550.0, 9154.0, 11609, 11680, 21697]","[2163, 3528, 5797, 7129, 12161]","[12, 24.0, 218, 228, 314.0]","[31, 40, 151, 239, 287]","[17, 26, 28.0, 36, 95.0]","[20, 22, 36, 47, 94]"
1568,"[236, 555, 60, 233, 58]","[22.0, 902.0, 777, 114, 76]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5008], [5001, 5008, 5008], [5001, 5008, 5008], [5011, 5008, 5005], [5011, 5008, 5005]]","[[5001, 5001, 5007], [5001, 5008, 5005], [5011, 5008, 5005], [5011, 5008, 5005], [5013, 5008, 5005]]","[[8005, 8009, 9103, 8014], [8005, 9111, 9104, 8299], [8005, 9111, 9104, 8299], [8128, 8126, 8138, 8105], [9923, 8126, 8136, 8106]]","[[8008, 9111, 9103, 8014], [8008, 9111, 9104, 8299], [8128, 8143, 8138, 8135], [8214, 8226, 8210, 8237], [8437, 8446, 8473, 8451]]","[[8345, 8304], [8345, 8347], [8444, 8453], [8473, 8242], [9111, 8014]]","[[8210, 8232], [8345, 8410], [8347, 8304], [8401, 8473], [8473, 8451]]","[[0, 0, 3020, 1082, 4645, 3100, 3364], [3077, 3071, 3161, 1028, 1028, 3047, 3340], [3140, 6675, 3094, 6694, 3006, 6672, 3363], [3869, 3179, 2055, 6701, 2021, 3117, 3364], [6692, 0, 3155, 3047, 3133, 3071, 3340]]","[[1043.0, 3078.0, 1042.0, 1055.0, 6672.0, 3006.0, 3363.0], [2055, 3074, 3133, 3123, 3078, 3047, 3364], [3504.0, 3870.0, 2055.0, 6617.0, 3067.0, 3158.0, 3364.0], [4645, 3100, 3157, 0, 4646, 3020, 3364], [6672, 6673, 1018, 1055, 6662, 3006, 3364]]","[11404, 14532, 14800, 18775, 43069]","[6101.0, 14804, 19153, 23207, 24842.0]","[20474, 22033, 22116, 25594, 26131]","[23098.0, 23393, 24742.0, 27768, 30096]","[4, 4, 5, 9, 19]","[1.0, 5, 5, 7.0, 14]","[3, 5, 8, 8, 8]","[5, 6, 9.0, 10, 11.0]","[6, 8, 11, 13, 16]","[3, 6, 8.0, 8, 21.0]","[3615, 5541, 6975, 10949, 18667]","[2283.0, 5158, 6310.0, 7814, 20015]","[13, 28, 126, 191, 198]","[18.0, 23, 125.0, 177, 211]","[14, 14, 17, 17, 75]","[13, 18, 25.0, 31, 54.0]"
1305,"[53, 79, 22.0, 39.0, 777]","[887, 412, 234, 1, 222]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5007], [5001, 5008, 5008], [5011, 5008, 5005]]","[[5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5005], [5011, 5008, 5005], [5011, 5010, 5007]]","[[8008, 9111, 9103, 8017], [8008, 9111, 9104, 8299], [8008, 9111, 9104, 8299], [8128, 8143, 8138, 8135], [8351, 8313, 8345, 8347]]","[[8008, 8009, 9103, 8017], [8010, 8009, 9104, 8299], [8010, 9111, 9104, 8014], [8369, 8313, 8345, 8347], [8439, 8463, 8473, 8242]]","[[8210, 8232], [8345, 8347], [8345, 8410], [8444, 8451], [8473, 8451]]","[[8226, 8237], [8233, 8236], [8304, 8347], [8345, 8347], [8473, 8451]]","[[1037.0, 1055.0, 1053.0, 3091.0, 3153.0, 3111.0, 3364.0], [1055.0, 6672.0, 3078.0, 3302.0, 0.0, 3006.0, 3363.0], [3031, 6672, 1038, 1018, 1054, 3006, 3364], [3152, 1052, 1052, 3020, 4646, 0, 3364], [3190, 3107, 3869, 2055, 3117, 0, 3364]]","[[3031, 1055, 3095, 1018, 0, 3006, 3363], [3047, 6672, 2055, 2021, 1036, 0, 3364], [3152, 1056, 0, 0, 3118, 3158, 3364], [3869, 3109, 2055, 1029, 3009, 3082, 3364], [4633, 2055, 1058, 3115, 1056, 3020, 3364]]","[4983, 9294, 14053.0, 23139.0, 24400]","[4991, 10525, 10630, 11247, 16969]","[12439, 13681.0, 17825.0, 18234, 21922]","[15884, 16190, 18242, 19516, 23669]","[4, 5, 7.0, 7, 12.0]","[2, 2, 3, 4, 6]","[3, 3, 3.0, 4.0, 4]","[4, 7, 7, 8, 9]","[1.0, 6, 8, 9.0, 13]","[1, 2, 5, 5, 5]","[2050, 2150, 3634.0, 7389.0, 13078]","[0, 1179, 1374, 3330, 10590]","[15, 23, 153.0, 184.0, 203]","[16, 27, 119, 156, 189]","[9, 17.0, 18.0, 19, 50]","[7, 13, 20, 31, 60]"
1441,"[58, 107, 89.0, 222.0, 268]","[33, 777, 25, 39, 29]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5005]]","[[5001, 5001, 5005], [5001, 5008, 5008], [5011, 5008, 5005], [5011, 5008, 5005], [5013, 5008, 5005]]","[[8008, 8009, 9103, 8014], [8010, 8009, 9104, 8014], [8010, 9111, 9104, 8299], [8369, 8304, 8321, 8347], [8439, 8463, 8473, 8242]]","[[8005, 9111, 9104, 8014], [8008, 9111, 9104, 8299], [8010, 9111, 9104, 8299], [8229, 8226, 8210, 8237], [8439, 8463, 8429, 8242]]","[[8143, 8135], [8233, 8236], [8237, 8226], [8306, 8345], [8473, 8453]]","[[8143, 8135], [8345, 8313], [8444, 8242], [8473, 8453], [9111, 9104]]","[[1055, 6692, 3047, 3071, 3053, 3026, 3364], [2031.0, 1055.0, 1018.0, 3031.0, 6672.0, 3006.0, 3363.0], [3036, 6698, 6676, 3508, 1036, 3158, 3364], [3157, 3147, 0, 3115, 1056, 3020, 3363], [3869.0, 3050.0, 1028.0, 3117.0, 3002.0, 2022.0, 3364.0]]","[[0, 0, 1054, 6672, 6673, 3006, 3363], [1055, 1043, 1042, 3076, 3153, 3047, 3340], [3157, 3871, 2055, 6653, 3158, 1052, 3364], [6673, 3153, 3006, 3085, 3031, 1036, 3363], [8020, 3047, 3075, 1028, 0, 0, 3364]]","[7965.0, 11513.0, 13103, 19811, 26806]","[7791, 9457, 9534, 11115, 33889]","[10375, 15377.0, 19881.0, 27109, 28717]","[15540, 17755, 19599, 21379, 25855]","[1.0, 6.0, 6, 12, 13]","[0, 1, 2, 5, 15]","[1, 3, 5.0, 5, 9.0]","[6, 7, 7, 9, 9]","[4, 5.0, 8, 9, 13.0]","[1, 3, 6, 6, 13]","[771, 1664.0, 3467.0, 12171, 13969]","[1001, 2031, 2939, 7627, 8700]","[17, 19.0, 166, 196.0, 238]","[11, 30, 167, 178, 185]","[14.0, 18, 30, 35, 61.0]","[6, 9, 10, 22, 54]"
1837,"[145, 19, 103, 64, 111]","[77, 3.0, 134, 222.0, 48]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5005]]","[[5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5008], [5013, 5008, 5005]]","[[8010, 8009, 9104, 8299], [8010, 9111, 9105, 8014], [8112, 8139, 8138, 8106], [8439, 8401, 8473, 8242], [9923, 8139, 8138, 8135]]","[[8008, 8009, 9103, 8014], [8008, 8009, 9104, 8299], [8230, 8275, 8234, 8232], [8369, 8313, 8316, 8347], [8439, 8401, 8473, 8242]]","[[8304, 8347], [8345, 8304], [8345, 8347], [8345, 8347], [8444, 8453]]","[[8226, 8210], [8233, 8236], [8345, 8347], [8473, 8446], [9105, 9111]]","[[1055, 3748, 3065, 3111, 3153, 3075, 3363], [2055, 3876, 3190, 3110, 0, 3117, 3364], [3006, 3115, 6692, 3137, 4632, 4645, 3363], [3102, 3118, 4628, 4630, 3108, 3111, 3363], [6610, 6692, 0, 3111, 3156, 2019, 3340]]","[[1038.0, 6672.0, 3094.0, 3006.0, 1055.0, 1037.0, 3363.0], [1054, 3074, 3078, 2021, 3123, 3111, 3364], [3047, 3118, 6653, 1057, 3742, 0, 3364], [3067.0, 3869.0, 1004.0, 3190.0, 3002.0, 3009.0, 3364.0], [6655, 4645, 3089, 1056, 3135, 3020, 3363]]","[5681, 19658, 22274, 26930, 30720]","[8296.0, 15133.0, 17660, 22998, 24330]","[14435, 17914, 22034, 38106, 41947]","[18601, 19808.0, 22056.0, 31925, 34055]","[0, 5, 8, 9, 10]","[1.0, 3.0, 4, 5, 6]","[2, 3, 3, 4, 7]","[4, 6, 7.0, 7.0, 8]","[6, 8, 9, 12, 14]","[2, 4, 5.0, 11, 12.0]","[3124, 3720, 7264, 22509, 24132]","[2150.0, 2182, 2730.0, 9833, 14845]","[26, 29, 201, 208, 249]","[31, 46.0, 188, 210.0, 294]","[20, 30, 32, 36, 86]","[16, 22, 22.0, 25, 108.0]"
1405,"[68, 200, 39, 22, 12]","[81.0, 246, 79, 11, 117.0]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5008], [5013, 5008, 5005], [5013, 5010, 5007]]","[[5001, 5008, 5005], [5001, 5008, 5007], [5011, 5008, 5005], [5011, 5008, 5005], [5011, 5008, 5008]]","[[8008, 8009, 9103, 8299], [8010, 9111, 9104, 8014], [8010, 9111, 9104, 8299], [8229, 8275, 8233, 8237], [8351, 8306, 8345, 8347]]","[[8010, 8009, 9103, 8014], [8112, 8143, 8138, 8106], [8214, 8275, 8210, 8237], [8437, 8446, 8444, 8451], [9923, 8143, 8138, 8105]]","[[8143, 8135], [8275, 8234], [8345, 8347], [8345, 8410], [8401, 8473]]","[[8226, 8237], [8345, 8347], [8347, 8345], [9104, 8014], [9111, 8299]]","[[1053, 1037, 1055, 3091, 3153, 3047, 3364], [3006, 6673, 2055, 1042, 3153, 1055, 3363], [3047, 4645, 1052, 1056, 1052, 6653, 3340], [3869, 2055, 1029, 3109, 3067, 3117, 3364], [6631, 6672, 3047, 3091, 1038, 1036, 3364]]","[[1037, 2055, 3153, 3047, 1043, 6672, 3364], [1055.0, 1028.0, 3133.0, 3158.0, 3042.0, 3508.0, 3363.0], [3158, 6698, 3142, 1055, 1036, 1036, 3364], [3869.0, 3222.0, 2065.0, 2055.0, 3158.0, 0.0, 3364.0], [4629, 3040, 1056, 3158, 3082, 0, 3363]]","[4583, 11692, 12334, 17225, 21727]","[8683.0, 12173, 13594, 13928.0, 14238]","[14034, 16183, 17683, 22504, 22740]","[11192.0, 13576, 18581.0, 18640, 22466]","[0, 5, 6, 7, 7]","[1.0, 3, 3.0, 7, 8]","[3, 3, 4, 5, 7]","[3, 4.0, 4, 6.0, 9]","[3, 6, 7, 8, 12]","[3, 4, 4.0, 6, 8.0]","[2077, 4526, 4820, 11210, 13280]","[732.0, 1484, 5136.0, 6575, 6627]","[13, 33, 140, 156, 218]","[20.0, 42, 127, 172, 181.0]","[18, 26, 27, 34, 62]","[14, 19, 27, 28.0, 69.0]"
2452,"[35, 7, 523.0, 114, 412.0]","[222, 53, 96, 266, 897]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5005], [5011, 5008, 5008]]","[[5001, 5001, 5005], [5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5008], [5001, 5008, 5008]]","[[8021, 9101, 9103, 8017], [8112, 8139, 8138, 8135], [8437, 8446, 8444, 8242], [8439, 8463, 8473, 8242], [9923, 8143, 8138, 8105]]","[[8008, 8009, 9103, 8014], [8010, 9111, 9105, 8299], [8229, 8226, 8233, 8237], [8351, 8306, 8345, 8347], [8437, 8446, 8429, 8451]]","[[8226, 8237], [8233, 8236], [8304, 8347], [8345, 8352], [9104, 8017]]","[[8009, 8014], [8134, 8143], [8233, 8236], [8234, 8275], [8345, 8410]]","[[3072.0, 6672.0, 3085.0, 3006.0, 3036.0, 3031.0, 3363.0], [3158.0, 3107.0, 3190.0, 3110.0, 2055.0, 3869.0, 3364.0], [3181, 3074, 3026, 6333, 3078, 3047, 3364], [4645, 3089, 4630, 4646, 6655, 3020, 3364], [6699, 6698, 6701, 3142, 3026, 3006, 3364]]","[[2055, 3190, 3869, 3002, 3117, 3109, 3364], [3143, 6662, 3047, 3068, 3110, 3075, 3364], [3157, 4645, 6653, 3020, 4628, 3118, 3364], [6673, 6672, 3143, 3006, 3046, 2019, 3363], [6692, 6698, 3047, 3814, 3053, 6694, 3364]]","[11012.0, 34356.0, 35426, 43350, 54173]","[12672, 22285, 34613, 47504, 50491]","[23834.0, 37132, 42018.0, 44185, 60705]","[29217, 31087, 35903, 51751, 76092]","[2.0, 7.0, 9, 10, 12]","[4, 6, 7, 9, 13]","[6.0, 6, 8, 8, 11.0]","[6, 7, 8, 8, 11]","[6, 10.0, 12, 14, 17.0]","[4, 5, 8, 10, 16]","[3910, 4871.0, 6300.0, 17417, 34138]","[1987, 2148, 8126, 8790, 40890]","[37.0, 43, 210, 294.0, 335]","[23, 88, 235, 266, 302]","[19, 32, 48, 53.0, 89.0]","[17, 20, 22, 28, 131]"
1337,"[36, 221, 350, 238, 113]","[268, 266, 131, 117.0, 523.0]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5001, 5005], [5001, 5001, 5005], [5001, 5008, 5005], [5001, 5008, 5007], [5001, 5008, 5008]]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5008], [5011, 5008, 5005], [5011, 5008, 5008]]","[[8008, 9111, 9104, 8299], [8112, 8139, 8138, 8106], [8214, 8226, 8210, 8237], [8437, 8446, 8444, 8451], [8439, 8463, 8473, 8451]]","[[8010, 9101, 9103, 8017], [8010, 9111, 9104, 8014], [8010, 9111, 9105, 8299], [8214, 8226, 8210, 8237], [8437, 8446, 8473, 8451]]","[[8210, 8224], [8410, 8304], [8429, 8451], [8463, 8453], [9104, 9111]]","[[8105, 8136], [8210, 8236], [8304, 8347], [8345, 8347], [9104, 8009]]","[[1054, 6692, 6698, 3158, 2020, 1036, 3364], [1055, 3087, 3006, 3085, 3031, 1018, 3363], [3084, 6664, 1054, 1011, 3076, 3047, 3340], [3143, 6664, 3047, 1031, 0, 2055, 3364], [3870, 0, 4642, 3504, 6617, 0, 3364]]","[[0, 0, 1056, 3110, 6653, 3020, 3340], [1018.0, 0.0, 1053.0, 1037.0, 3006.0, 6672.0, 3363.0], [3152, 0, 1082, 0, 3115, 2422, 3364], [3161, 1083, 3133, 1001, 1055, 3044, 3340], [3916.0, 2065.0, 3870.0, 3158.0, 1052.0, 0.0, 3364.0]]","[3548, 10676, 17589, 20661, 32552]","[6155, 6394.0, 11417.0, 16083, 17192]","[4603, 12120, 17410, 23551, 26804]","[16320.0, 16344.0, 20921, 21374, 25856]","[1, 3, 6, 11, 15]","[0, 1.0, 1.0, 1, 1]","[0, 0, 1, 1, 2]","[5, 7.0, 7.0, 8, 9]","[4, 5, 6, 12, 19]","[0, 1.0, 1, 1, 2.0]","[1248, 3274, 5096, 12309, 12776]","[608.0, 1304, 2423.0, 7286, 8568]","[17, 32, 144, 161, 222]","[14, 26.0, 149, 165.0, 172]","[8, 18, 20, 30, 38]","[6, 13, 23, 24.0, 32.0]"
2116,"[35.0, 222.0, 234, 112, 36]","[136, 235, 111, 72, 35]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 4]","[[5001, 5001, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005]]","[[5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5008], [5011, 5008, 5005]]","[[8008, 8009, 9103, 8014], [8010, 9111, 9104, 8014], [8214, 8226, 8233, 8237], [8437, 8446, 8444, 8451], [9923, 8143, 8138, 8105]]","[[8021, 8009, 9104, 8017], [8112, 8126, 8138, 8105], [8229, 8226, 8210, 8236], [8229, 8226, 8234, 8237], [9923, 8143, 8138, 8105]]","[[8139, 8135], [8345, 8347], [8347, 8304], [8410, 8304], [9104, 8014]]","[[8014, 9104], [8345, 8304], [8401, 8473], [8410, 8345], [8451, 8444]]","[[3084, 8001, 1028, 3068, 3076, 3047, 3364], [3142.0, 6699.0, 6676.0, 3877.0, 6701.0, 3009.0, 3364.0], [4645, 4646, 3100, 3118, 3020, 1058, 3363], [6672.0, 3006.0, 3087.0, 3036.0, 3031.0, 1036.0, 3363.0], [6672, 6610, 3078, 2055, 6333, 3047, 3364]]","[[3047, 3190, 3152, 3068, 3110, 3109, 3364], [3068, 3084, 3009, 2504, 3076, 3050, 3364], [3089, 3145, 2420, 3116, 6653, 3020, 3363], [3877, 6701, 3142, 3009, 3094, 1036, 3364], [6698, 3153, 3006, 6699, 3134, 6690, 3364]]","[19290, 25205, 34627.0, 35526.0, 40609]","[26205, 26590, 27265, 27733, 47048]","[17546, 29309.0, 31317.0, 45958, 77478]","[29096, 34835, 40215, 42683, 45260]","[1, 6.0, 6, 14, 15.0]","[3, 6, 8, 9, 11]","[3, 6, 7.0, 9, 12.0]","[3, 6, 8, 11, 14]","[3, 5, 7, 13.0, 18.0]","[4, 9, 10, 12, 14]","[3317, 3471.0, 8997.0, 23029, 24900]","[2070, 5916, 7227, 12264, 19698]","[22.0, 40, 175, 193.0, 263]","[20, 76, 173, 209, 220]","[11, 17.0, 21, 36, 70.0]","[18, 19, 21, 24, 90]"
735,"[222.0, 164.0, 30, 23, 910]","[64, 36, 35, 22, 8]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5008], [5011, 5008, 5008]]","[[5001, 5001, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5007], [5001, 5008, 5007]]","[[8008, 8009, 9103, 8014], [8008, 9111, 9104, 8299], [8128, 8126, 8138, 8106], [8214, 8226, 8233, 8237], [9923, 8143, 8138, 8135]]","[[8008, 9111, 9104, 8014], [8010, 9111, 9104, 8014], [8229, 8226, 8210, 8237], [8230, 8275, 8210, 8237], [8437, 8446, 8444, 8451]]","[[8236, 8210], [8242, 8444], [8304, 8347], [8345, 8313], [8473, 8401]]","[[8126, 8106], [8304, 8347], [8345, 8347], [8347, 8304], [8410, 8304]]","[[0.0, 3087.0, 3006.0, 1043.0, 1055.0, 0.0, 3364.0], [1055, 1036, 2031, 1001, 3123, 3077, 3340], [1101, 1026, 1028, 3118, 1052, 3020, 3364], [3003, 3147, 2031, 0, 1056, 3020, 3340], [3866.0, 6692.0, 3111.0, 1036.0, 1036.0, 0.0, 3364.0]]","[[1054, 2055, 0, 3084, 0, 3047, 3340], [1102, 3133, 0, 1036, 2422, 1037, 3340], [2003, 0, 0, 3866, 3003, 1001, 3364], [2031, 1018, 1055, 1001, 6670, 1042, 3340], [3211, 3108, 3158, 1054, 1052, 0, 3340]]","[5039, 7952.0, 8027.0, 9937, 11535]","[3071, 3230, 3328, 3579, 7735]","[4578.0, 5471, 6224.0, 8108, 12696]","[6921, 8379, 8803, 11683, 14820]","[1, 3, 4.0, 8, 9.0]","[1, 1, 2, 2, 3]","[0.0, 1, 1, 2.0, 5]","[2, 3, 5, 7, 8]","[2, 5.0, 5.0, 6, 6]","[1, 2, 2, 2, 4]","[0, 829.0, 1428.0, 2606, 5266]","[0, 327, 2906, 2946, 4875]","[6, 12.0, 81, 101, 104.0]","[1, 20, 53, 55, 76]","[4, 8.0, 9.0, 11, 12]","[1, 4, 6, 8, 11]"
1320,"[98.0, 54, 777, 72, 202.0]","[39, 35, 222, 233, 777]","[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]","[[5001, 5001, 5007], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5011, 5008, 5008]]","[[5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5005], [5001, 5008, 5007]]","[[8008, 9111, 9104, 8299], [8021, 8009, 9103, 8017], [8230, 8275, 8234, 8232], [8369, 8304, 8316, 8347], [8439, 8401, 8444, 8453]]","[[8008, 8009, 9103, 8014], [8008, 9111, 9104, 8299], [8008, 9111, 9104, 8299], [8010, 9111, 9104, 8014], [8229, 8226, 8210, 8237]]","[[8106, 8138], [8126, 8106], [8234, 8236], [8304, 8347], [8473, 8446]]","[[8139, 8135], [8345, 8347], [8347, 8345], [8429, 8451], [8444, 8242]]","[[2031.0, 1038.0, 1037.0, 3095.0, 3094.0, 3047.0, 3363.0], [2055.0, 3190.0, 3876.0, 3066.0, 1031.0, 3158.0, 3364.0], [3075, 3068, 3111, 1028, 0, 0, 3364], [3118, 3100, 4646, 3158, 3108, 0, 3363], [6672, 3153, 6662, 1036, 1055, 3006, 3364]]","[[1101, 3748, 6610, 3047, 3044, 0, 3364], [3040, 0, 1052, 3871, 3118, 3158, 3364], [3153, 2055, 1055, 2021, 1036, 3047, 3340], [6670, 1055, 3087, 3006, 1043, 0, 3363], [6672, 1053, 1018, 0, 3006, 1055, 3340]]","[5089.0, 8340, 21475, 21797.0, 26533]","[5580, 9782, 11123, 12958, 17307]","[12981, 13974.0, 15370.0, 17753, 18162]","[13038, 15597, 18660, 23690, 28263]","[1.0, 1, 11, 12.0, 13]","[1, 2, 2, 5, 6]","[2, 2, 3, 4.0, 5.0]","[6, 6, 6, 8, 12]","[3, 4.0, 4, 6, 9.0]","[0, 2, 5, 5, 6]","[1093.0, 1481, 4263.0, 7483, 8663]","[1175, 1229, 2796, 2861, 22949]","[20, 27.0, 130, 140.0, 154]","[27, 39, 135, 144, 149]","[10, 13.0, 15, 23, 41.0]","[10, 11, 12, 17, 44]"
